High,Low,Open,Close,Volume,Adj Close
385.7099914550781,366.45001220703125,370.8800048828125,378.989990234375,26697700,378.989990234375
373.07000732421875,367.20001220703125,370.0,372.2799987792969,13119200,372.2799987792969
378.7699890136719,371.010009765625,371.1400146484375,373.42999267578125,9856100,373.42999267578125
380.79998779296875,373.67999267578125,374.70001220703125,376.1600036621094,8737600,376.1600036621094
377.0,372.2300109863281,374.0400085449219,372.70001220703125,6951000,372.70001220703125
369.8599853515625,361.5299987792969,368.7900085449219,362.1700134277344,10143900,362.1700134277344
371.2099914550781,362.8900146484375,365.0,370.4599914550781,7939600,370.4599914550781
375.6000061035156,367.6000061035156,375.5799865722656,370.3800048828125,6479700,370.3800048828125
376.6600036621094,365.54998779296875,371.8900146484375,374.2099914550781,9600000,374.2099914550781
376.6600036621094,372.3299865722656,376.6000061035156,374.44000244140625,4921300,374.44000244140625
382.17999267578125,374.739990234375,376.5199890136719,381.4200134277344,7694700,381.4200134277344
392.8999938964844,383.1000061035156,385.79998779296875,391.5400085449219,7735700,391.5400085449219
394.8299865722656,388.5,388.5,390.75,6401000,390.75
391.5400085449219,384.07000732421875,389.67999267578125,384.739990234375,7350300,384.739990234375
397.05999755859375,385.1000061035156,385.989990234375,395.8599853515625,9388100,395.8599853515625
398.6600036621094,390.95001220703125,398.07000732421875,391.92999267578125,6857200,391.92999267578125
379.79998779296875,371.8599853515625,376.20001220703125,374.5199890136719,14482600,374.5199890136719
372.239990234375,367.75,370.2900085449219,369.0400085449219,7980100,369.0400085449219
368.7900085449219,362.9200134277344,368.3999938964844,364.94000244140625,8285000,364.94000244140625
371.0799865722656,364.2099914550781,364.6199951171875,370.1600036621094,6598400,370.1600036621094
379.95001220703125,372.0,375.75,379.6400146484375,7334600,379.6400146484375
377.8999938964844,373.67999267578125,376.70001220703125,375.4599914550781,3822100,375.4599914550781
384.6400146484375,375.0299987792969,376.510009765625,381.7200012207031,7083800,381.7200012207031
384.19000244140625,377.4800109863281,384.1000061035156,377.5199890136719,4424400,377.5199890136719
