High,Low,Open,Close,Volume,Adj Close
105.91000366210938,104.19999694824219,105.0999984741211,104.43000030517578,13813300,104.43000030517578
105.91999816894531,103.2699966430664,104.91999816894531,104.19000244140625,12466300,104.19000244140625
104.55000305175781,103.26000213623047,104.12999725341797,104.11000061035156,10856600,104.11000061035156
104.56999969482422,103.55000305175781,103.86000061035156,103.72000122070312,9070800,103.72000122070312
103.47000122070312,102.16000366210938,103.25,102.97000122070312,12705700,102.97000122070312
103.2300033569336,101.98999786376953,101.98999786376953,103.01000213623047,10582400,103.01000213623047
104.55000305175781,103.66000366210938,103.9800033569336,104.3499984741211,9763200,104.3499984741211
104.79000091552734,103.75,104.58999633789062,104.04000091552734,10219100,104.04000091552734
104.9800033569336,103.94999694824219,104.19000244140625,104.38999938964844,13022200,104.38999938964844
105.87000274658203,104.45999908447266,104.5,105.33999633789062,10926500,105.33999633789062
106.80000305175781,105.2300033569336,105.41000366210938,106.55000305175781,24811700,106.55000305175781
107.79000091552734,106.5,106.55000305175781,107.19000244140625,12935500,107.19000244140625
108.4000015258789,106.55000305175781,108.19999694824219,106.80000305175781,12889300,106.80000305175781
106.6500015258789,104.41000366210938,106.43000030517578,104.5199966430664,14920700,104.5199966430664
103.48999786376953,102.27999877929688,103.48999786376953,102.87000274658203,19751000,102.87000274658203
102.31999969482422,99.5199966430664,101.81999969482422,99.76000213623047,31115200,99.76000213623047
100.56999969482422,98.08999633789062,99.58999633789062,98.93000030517578,21032300,98.93000030517578
100.4000015258789,98.81999969482422,99.81999969482422,99.91999816894531,15987100,99.91999816894531
100.44999694824219,99.08000183105469,99.87999725341797,99.58000183105469,12648300,99.58000183105469
100.80000305175781,99.7499008178711,100.0,100.70999908447266,11123890,100.70999908447266
