High,Low,Open,Close,Volume,Adj Close
175.14999389648438,172.88999938964844,174.27999877929688,174.97000122070312,25886200,174.97000122070312
177.75,173.97000122070312,175.69000244140625,175.85000610351562,27436200,175.85000610351562
176.0,174.5399932861328,175.94000244140625,175.52999877929688,19737400,175.52999877929688
175.49000549316406,173.94000244140625,174.6699981689453,174.52000427246094,20810400,174.52000427246094
174.44000244140625,172.02000427246094,173.8699951171875,172.5,24796400,172.5
173.07000732421875,169.5,170.32000732421875,172.91000366210938,23999400,172.91000366210938
179.1199951171875,175.35000610351562,175.49000549316406,178.89999389648438,32011000,178.89999389648438
182.6699981689453,179.3699951171875,180.0,180.91000366210938,32467600,180.91000366210938
183.3000030517578,180.9199981689453,182.25,181.7100067138672,31032500,181.7100067138672
184.10000610351562,182.55999755859375,183.89999389648438,183.72999572753906,23579500,183.72999572753906
187.3300018310547,183.74000549316406,184.85000610351562,186.1199951171875,39042900,186.1199951171875
188.38999938964844,185.7899932861328,185.8000030517578,188.02000427246094,26219800,188.02000427246094
188.99000549316406,185.9199981689453,188.35000610351562,186.52999877929688,31646400,186.52999877929688
189.49000549316406,184.72999572753906,186.22999572753906,188.16000366210938,31035200,188.16000366210938
196.3300018310547,189.80999755859375,190.02000427246094,195.08999633789062,51034200,195.08999633789062
197.69000244140625,190.77999877929688,195.33999633789062,191.0500030517578,42407700,191.0500030517578
191.97999572753906,186.60000610351562,191.50999450683594,188.74000549316406,43845300,188.74000549316406
192.8800048828125,184.5800018310547,191.66000366210938,186.7899932861328,49800500,186.7899932861328
189.75999450683594,186.5500030517578,188.75,188.47000122070312,29598500,188.47000122070312
189.5500030517578,187.52999877929688,188.9499969482422,188.72000122070312,20530101,188.72000122070312
