High,Low,Open,Close,Volume,Adj Close
187.3300018310547,183.74000549316406,184.85000610351562,186.1199951171875,39042900,186.1199951171875
188.38999938964844,185.7899932861328,185.8000030517578,188.02000427246094,26219800,188.02000427246094
188.99000549316406,185.9199981689453,188.35000610351562,186.52999877929688,31646400,186.52999877929688
189.49000549316406,184.72999572753906,186.22999572753906,188.16000366210938,31035200,188.16000366210938
196.3300018310547,189.80999755859375,190.02000427246094,195.08999633789062,51034200,195.08999633789062
197.69000244140625,190.77999877929688,195.33999633789062,191.0500030517578,42407700,191.0500030517578
191.97999572753906,186.60000610351562,191.50999450683594,188.74000549316406,43845300,188.74000549316406
192.8800048828125,184.5800018310547,191.66000366210938,186.7899932861328,49800500,186.7899932861328
189.75999450683594,186.5500030517578,188.75,188.47000122070312,29848400,188.47000122070312
189.55999755859375,187.52999877929688,188.9499969482422,188.72000122070312,20780400,188.72000122070312
190.0800018310547,188.5399932861328,189.8300018310547,189.9499969482422,23564000,189.9499969482422
191.67999267578125,188.3800048828125,191.63999938964844,191.24000549316406,27862000,191.24000549316406
194.4600067138672,191.0500030517578,191.08999633789062,194.02000427246094,22765700,194.02000427246094
196.5,193.14999389648438,193.25,195.35000610351562,23271800,195.35000610351562
196.3699951171875,193.13999938964844,194.7899932861328,195.69000244140625,19114300,195.69000244140625
197.10000610351562,195.92999267578125,196.4499969482422,197.0,18526600,197.0
200.22999572753906,196.33999633789062,196.4199981689453,200.10000610351562,25881700,200.10000610351562
202.85000610351562,199.22999572753906,200.32000732421875,199.5,35768200,199.5
200.74000549316406,198.17999267578125,198.67999267578125,200.6199951171875,21695300,200.6199951171875
201.0,198.44000244140625,200.85000610351562,198.9499969482422,20900800,198.9499969482422
200.13999938964844,196.2100067138672,199.1999969482422,198.8699951171875,27760700,198.8699951171875
199.85000610351562,198.00999450683594,198.5800018310547,199.22999572753906,17536600,199.22999572753906
201.3699951171875,198.55999755859375,199.4600067138672,199.25,25696400,199.25
203.3800048828125,198.61000061035156,199.5399932861328,203.1300048828125,28906800,203.1300048828125
